model,K,topN,normalize,div_mode,anchor_L,rel_mode,w_rel,w_novelty,w_longtail,w_div,Recall@10,NDCG@10,Coverage@10,LongTailShare@10,Novelty@10,AvgPopularity@10,seconds
NGCF-Rerank,10,200,minmax,max,0,raw,0.9,0.05,0.04999999999999993,0.0,0.0695364238410596,0.03511808747453753,0.48623853211009177,0.04173841059602649,9.783728308188206,1401.128509933775,0.37894392013549805
NGCF-Rerank,10,200,minmax,max,0,raw,0.9,0.08,0.020000000000000018,0.0,0.07003311258278146,0.03511525793183327,0.48812736103615756,0.04294701986754967,9.801259065953312,1387.5914238410596,0.3784635066986084
NGCF-Rerank,10,200,minmax,max,0,raw,0.9,0.0,0.06999999999999995,0.03,0.06970198675496689,0.03519323008409692,0.4749055585536967,0.038062913907284765,9.739872667110518,1433.2716721854304,5.380589008331299
NGCF-Rerank,10,200,minmax,max,0,raw,0.9,0.03,0.039999999999999925,0.03,0.06937086092715232,0.03513944101405401,0.4778737182946573,0.03935430463576159,9.7579797899802,1419.1950496688742,5.1601197719573975
NGCF-Rerank,10,200,minmax,max,0,raw,0.9,0.05,0.019999999999999907,0.03,0.06903973509933775,0.03499267044691976,0.4811117107393416,0.04039735099337748,9.770738571100678,1409.6591390728477,4.85784912109375
NGCF-Rerank,10,200,minmax,max,0,raw,0.9,0.0,0.04999999999999993,0.05,0.07003311258278146,0.03536772845136404,0.47220723151645977,0.037102649006622516,9.731444078281227,1438.8104304635763,5.283336400985718
NGCF-Rerank,10,200,minmax,max,0,raw,0.9,0.03,0.019999999999999907,0.05,0.0695364238410596,0.0352468572538914,0.4757150566648678,0.0384271523178808,9.749987433161957,1424.2446357615895,4.993648052215576
NGCF-Rerank,10,200,minmax,max,0,raw,0.9,0.05,0.0,0.05,0.06970198675496689,0.03520620697191932,0.478143550998381,0.03932119205298013,9.761557502699214,1415.4592880794703,5.692908048629761
NGCF-Rerank,10,200,minmax,max,0,raw,0.9,0.0,0.020000000000000018,0.08,0.0706953642384106,0.035708511847758556,0.46708041014570967,0.03581125827814569,9.719849489208878,1446.098427152318,6.488177299499512
NGCF-Rerank,10,200,minmax,max,0,raw,0.95,0.0,0.050000000000000044,0.0,0.06986754966887417,0.03531252844547964,0.47058823529411764,0.0369205298013245,9.731259077132142,1438.3758774834437,0.38091301918029785
NGCF-Rerank,10,200,minmax,max,0,raw,0.95,0.03,0.020000000000000018,0.0,0.06937086092715232,0.03510265474656945,0.47436589314624933,0.0381953642384106,9.748399541062234,1425.257367549669,0.3822133541107178
NGCF-Rerank,10,200,minmax,max,0,raw,0.95,0.05,0.0,0.0,0.06937086092715232,0.03506935422656357,0.47760388559093364,0.03917218543046357,9.760602404392317,1415.988344370861,0.4721071720123291
NGCF-Rerank,10,200,minmax,max,0,raw,0.95,0.0,0.020000000000000018,0.03,0.07003311258278146,0.035422745371872615,0.46681057744198595,0.03584437086092715,9.72103608169303,1445.1476324503312,5.392187595367432
